"Shows button for acceptation of Przelewy24 conditions in shop website","Zobrazuje tlačítko souhlasu s podmínkami przelewy24.pl uvnitř obchodu"
"Installment Settings","Nastavení splátkových plateb"
"Allow also for not immediate payments","Zobrazit rovněž neokamžité platby"
"This setting increases the number of available payment methods","Toto nastavení zvyšuje počet dostupných platebních metod"
"Adjust the time limit for completion of the transaction","Přizpůsobit limit minut pro dokončení transakce"
"Value 0 means no time limit","Hodnota 0 znamená, že časový limit nebyl nastaven"
"Mail theme for button 'Send P24 link by email'","Šablona e-mailové zprávy pro tlačítko 'Odeslat e-mailem odkaz na P24'"
"Pay by IVR","Platby přes IVR"
"Change order status","Změnit stav objednávky"
"Create invoice","Vygenerovat fakturu"
"Wait for transaction result","Počkejte na výsledek transakce"
"After leaving the bank website, wait for the P24 transaction result?","Chcete po opuštění stránek banky setrvat na stránkách P24 a počkat na výsledek transakce. Hodnota 'Ne' přepíná zákazníka okamžitě do obchodu."
"Additional settings","Další nastavení"
"Enable extra charge","Započítat dodatečné poplatky"
"Choose product","Zvolte produkt"
"This virtual product will be added to the invoice with amount:","Tento virtuální produkt bude přidán na fakturu za cenu brutto v následující výši:"
"Increase payment (amount)","Navýšit platbu o pevnou částku"
"Increase payment (percent)","Navýšit platbu o procentuální sazbu"
"Payment will be increased by greater of these amounts","K platbě bude připočtena pouze větší z těchto částek"
"Google Analytics code","Umístit kód pro sledování Google Analytics před provedením platby (znamená to další krok)"
"By default, the Google Analytics tracking code is placed on the confirmation page","Implicitně umístěný sledovací kód Google Analytics se nachází na stránce s potvrzením platby.  Označení této položky má za následek přidání dalšího kroku (stránky) a umístění sledovacího kódu před provedením platby."
"Enable ZenCard","Zapnutí ZenCard (slevové kupóny: <a href=""https://zencard.pl/"">https://zencard.pl/</a>)"
"Set ZenCard setting in Przelewy24 dashboard","Údaje k účtu ZenCard je nutné definovat na panelu Przelewy24"
"Subaccounts currency","Valutová subkonta"
"Currency list","Seznam měn"
"Enabled","Zapnutý"
"Title","Název"
"Additional description","Doplňkový popis"
"Merchant ID:","ID číslo prodávajícího:"
"Shop ID:","ID číslo obchodu:"
"ID in Przelewy24 - main account login","ID v systému Przelewy24 – hlavní přihlašovací jméno k účtu"
"CRC key:","CRC klíč:"
"You can get CRC key from Przelewy24 dashboard, from my data tab","CRC klíč naleznete na panelu <a href=""https://secure.przelewy24.pl/"">Przelewy24.pl</a> nebo  <a href=""https://sandbox.przelewy24.pl/"">sandbox</a> podle režimu fungování zásuvky, v záložce Moje údaje ->Údaje o účtu"
"Minimum order amount","Minimální částka objednávky"
"Maximum order amount","Maximální částka objednávky"
"Order on gateway list","Položka na seznamu"
"Test mode (SANDBOX)","Testovací režim (SANDBOX)"
"Your payment was not confirmed by Przelewy24. Contact with your seller for more information.","Platba provedená prostřednictvím Przelewy24 dosud nebyla potvrzena.  Jestliže obdržíme potvrzení později, bude platba automaticky poukázána obchodu."
"The payment with ZenCard was not confirmed.","Žádost o potvrzení kupónu ZenCard nebyla dokončena úspěšně!"
"Google Analytics - send amount with tax","Google Analytics – odesílat částky brutto"
"With gross price","Určuje, zda jsou ceny odesílané do Google Analytics … cenami brutto“"
"Available currency in store","Měny dostupné v obchodě"
"Przelewy24 - advanced settings","Przelewy24 – pokročilé nastavení"
"Payment methods visible on the first view:","Platební metody viditelné ihned:"
"Payment methods visible after click the button (more...):","Platební metody viditelné po kliknutí na tlačítko (více …):"
"Product page (information) and payment page (button)","stránka produktu (informace) a stránka platby (tlačítko)"
"Only payment page (button)","pouze stránka platby (tlačítko)"
"Do not show the installment","nezobrazovat splátkové možnosti úhrady"                                                                                                                                                                ,
"The link for payment with Przelewy24 has been sent by e-mail!","Na Váš e-mail byl odeslán odkaz pro provedení platby z Przelewy24"
"Hello","Dobrý den"
"Przelewy24: The API key should have 32 characters","Przelewy24: API klíč musí obsahovat 32 znaků"
"No soap extension","Rozšíření soap není dostupné"
"Przelewy24: Incorrect API key","Przelewy24: Nesprávný API klíč"
"Oneclick payments also require the account configuration at Przelewy24.pl, for this purpose please contact us at partner@przelewy24.pl","Platby Oneclick vyžadují rovněž konfiguraci účtu na Przelewy24.pl. Za tímto účelem nás, prosím, kontaktujte na: partner@przelewy24.pl"
"Przelewy24: Incorrect time limit for completing the transaction. Valid values: from 0 to 99","Przelewy24: Nesprávný časový limit pro dokončení transakce.  Přípustné hodnoty: od 0 do 99"
"Przelewy24: Incorrect amount for calculating additional payment","Przelewy24: Nesprávná částka pro započtení dodatečné platby"
"No openssl extension","Rozšíření openssl není dostupné"
"No curl extension","Rozšíření curl není dostupné"
"After order placing, you will be redirect to the Przelewy24 service.","Po podání objednávky budete přesměrování na stránky servisu Przelewy24, kde můžete provést platbu."
"Email template - link for payment with Przelewy24","E-mailová šablona – odkaz na platbu Przelewy24"
"Drop here max 5 payment methods","Zde slevit max. 5 platebních metod"
"The link for payment with Przelewy24 has not been sent!","Odkaz k platbě prostřednictvím Przelewy24 nebyl odeslán"
"The link for payment with Przelewy24","Odkaz na platby Przelewy24"
"has not been paid.","nebyla uhrazena."
"To continue the payment, click the link below:","Pro pokračování platby klikněte na výše uvedený odkaz:"
"Przelewy24: Wrong Google Analytics key format. Acceptable format: UA-0123456-7","Przelewy24: Špatný formát klíče Google Analytics. Přípustný formát: UA-0123456-7"
"Przelewy24: Wrong amount percentage for additional fee","Przelewy24: Nesprávné procento částky pro započtení dodatečné platby"
"ZenCard is not available for account:","Funkce ZenCard není dostupná pro účet:"
"Przelewy24: Incorrect seller ID","Przelewy24: Nesprávné ID Prodejce"
"Przelewy24: Incorrect shop ID","Przelewy24: Nesprávné ID Obchodu"
"Przelewy24: The CRC key must have 16 characters","Przelewy24: Klíč pro CRC musí obsahovat 16 znaků"
"Przelewy24: Bad Shop ID, Seller or CRC Key for this plug-in mode","Przelewy24: Chybné ID Obchodu, Prodejce nebo klíč pro CRC pro tento režim provozu přípojky."
"Settings have been saved!","Nastavení byla uložena!"
"An error occured during saving!","Při ukládání došlo k chybě!"
"Card has been deleted!","Karta byla odstraněna!"
"An error occured during card deleting!","Při odstraňování karty došlo k chybě!"
"Delete","Smazat"
"order","objednávka"
"IVR payment successful!","Platba přes IVR proběhla úspěšně!"
"IVR payment failed","Platba přes IVR se nezdařila!"
"Last used:","Naposledy používané:"
"With ZenCard discount","Po slevě ZenCard"
"Difference","Rozdíl"
"Order","Objednávka"
"Back","Zpět"
"Send email","Odeslat e-mail"
"cvv","cvv"
"Items Ordered","Objednané produkty"
"Product Name","Název produktu"
"SKU","SKU"
"Price","Cena"
"Qty","Množství"
"Subtotal","Dílčí částka"
"Canceled","Zrušeno"
"Shipping &amp; Handling","Odeslání &amp; Obsluha"
"Total","Součet"
"Used a ZenCard coupon of value:","Byl použit kupón ZenCard v hodnotě:"
"Discount","Sleva"
